Date;Heure;Dispositif;;Ticket;Assiette;Conso;Versement;Restant;
07/02/2018;11:53:33;MONEWEB;COMPASS;3124;---;0;20;---;T.P.V.
07/02/2018;12:33:31;OASIS;2;133;20,14;5,37;0;14,77;T.P.V.
08/02/2018;12:50:27;OASIS;3;107;14,77;5,37;0;9,4;T.P.V.
08/02/2018;13:22:06;COLOMBUS;1;413;9,4;1,12;0;8,28;T.P.V.
12/02/2018;12:44:46;OASIS;1;202;8,28;5,37;0;2,91;T.P.V.
26/02/2018;13:29:41;COLOMBUS;1;468;2,91;1,63;0;1,28;T.P.V.
27/02/2018;12:47:38;COLOMBUS;1;412;1,28;1,22;0;0,06;T.P.V.
28/02/2018;13:25:36;COLOMBUS;2;79;0,06;0,51;10;9,55;T.P.V.
06/03/2018;12:54:53;COLOMBUS;2;52;9,55;1,73;0;7,82;T.P.V.
08/03/2018;12:51:35;COLOMBUS;2;68;7,82;2,11;0;5,71;T.P.V.
15/03/2018;12:32:31;SELF;2;111;5,71;12,15;20;13,56;T.P.V.
15/03/2018;13:00:37;COLOMBUS;2;78;13,56;2,34;0;11,22;T.P.V.
19/03/2018;13:03:57;OASIS;1;228;11,22;6,2;0;5,02;T.P.V.
19/03/2018;13:17:23;COLOMBUS;2;88;5,02;1,22;0;3,8;T.P.V.
21/03/2018;12:41:42;OASIS;1;139;3,8;6,02;20;17,78;T.P.V.
27/03/2018;12:45:03;OASIS;3;136;17,78;7,59;0;10,19;T.P.V.
29/03/2018;12:48:56;CAISSE;61;273;10,19;2,08;0;8,11;T.P.V.
03/04/2018;12:45:39;OASIS;3;141;8,11;5,37;0;2,74;T.P.V.
04/04/2018;12:39:31;OASIS;3;61;2,74;5,37;20;17,37;T.P.V.
04/04/2018;12:39:38;OASIS;3;62;17,37;0;30;47,37;T.P.V.
04/04/2018;13:06:06;COLOMBUS;2;31;47,37;1,73;0;45,64;T.P.V.
06/04/2018;12:40:49;OASIS;2;143;45,64;5,37;0;40,27;T.P.V.
10/04/2018;12:47:44;OASIS;3;110;40,27;6,11;0;34,16;T.P.V.
10/04/2018;13:08:22;COLOMBUS;2;104;34,16;1,63;0;32,53;T.P.V.
12/04/2018;13:00:05;OASIS;3;169;32,53;5,37;0;27,16;T.P.V.
